Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ARMENIA,Neu,Regulado,1 Usuario,                       7.508,                       7.508,                       7.508,                       7.508,                       7.508,                       7.508
BARRANQUILLITA MEDIO MAYOREO 1,Neu,Regulado,1 Usuario,                    22.158,                    22.158,                    22.158,                    22.158,                    22.158,                    22.158
BARRIO ABAJO,Neu,Regulado,1 Usuario,                    22.964,                    22.964,                    22.964,                    22.964,                    22.964,                    22.964
CENTRO LOGISTICO TOCANCIPA 31,Neu,Regulado,1 Usuario,                       1.365,                       1.365,                       1.365,                       1.365,                       1.365,                       1.365
GAITAN MEDIO MAYOREO,Neu,Regulado,1 Usuario,                       2.670,                       2.670,                       2.670,                       2.670,                       2.670,                       2.670
GAITAN SUPERMERCADO,Neu,Regulado,1 Usuario,                    12.309,                    12.309,                    12.309,                    12.309,                    12.309,                    12.309
IBAGUE LA 28,Neu,Regulado,1 Usuario,                    15.239,                    15.239,                    15.239,                    15.239,                    15.239,                    15.239
IBAGUE LA PICALEÑA MEDIO MAYOREO,Neu,Regulado,1 Usuario,                    20.063,                    20.063,                    20.063,                    20.063,                    20.063,                    20.063
MANIZALES,Neu,Regulado,1 Usuario,                       5.148,                       5.148,                       5.148,                       5.148,                       5.148,                       5.148
NEIVA CENTRO,Neu,Regulado,1 Usuario,                    13.384,                    13.384,                    13.384,                    13.384,                    13.384,                    13.384
NEIVA MEDIO MAYOREO,Neu,Regulado,1 Usuario,                    24.295,                    24.295,                    24.295,                    24.295,                    24.295,                    24.295
PITALITO MEDIO MAYOREO,Neu,Regulado,1 Usuario,                       2.300,                       2.300,                       2.300,                       2.300,                       2.300,                       2.300
SANTA MARTA MEDIO MAYOREO 1,Neu,Regulado,1 Usuario,                    26.674,                    26.674,                    26.674,                    26.674,                    26.674,                    26.674
SANTA MARTA RODADERO,Neu,Regulado,1 Usuario,                    25.459,                    25.459,                    25.459,                    25.459,                    25.459,                    25.459
SUBA,Neu,Regulado,1 Usuario,                    16.395,                    16.395,                    16.395,                    16.395,                    16.395,                    16.395
TUNJUELITO,Neu,Regulado,1 Usuario,                    12.650,                    12.650,                    12.650,                    12.650,                    12.650,                    12.650
VALLEDUPAR LA 44 MEDIO MAYOREO,Neu,Regulado,1 Usuario,                    20.238,                    20.238,                    20.238,                    20.238,                    20.238,                    20.238
VEINTE DE JULIO,Neu,Regulado,1 Usuario,                       6.047,                       6.047,                       6.047,                       6.047,                       6.047,                       6.047
VILLA ALSACIA,Neu,Regulado,1 Usuario,                    11.636,                    11.636,                    11.636,                    11.636,                    11.636,                    11.636
VILLA DEL PRADO,Neu,Regulado,1 Usuario,                       4.275,                       4.275,                       4.275,                       4.275,                       4.275,                       4.275
VILLA DEL PRADO,Neu,Regulado,1 Usuario,                       3.679,                       3.679,                       3.679,                       3.679,                       3.679,                       3.679
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ARMENIA,Neu,Regulado,1 OR,                       7.508,                       7.508,                       7.508,                       7.508,                       7.508,                       7.508
BARRANQUILLITA MEDIO MAYOREO 1,Neu,Regulado,1 OR,                    22.158,                    22.158,                    22.158,                    22.158,                    22.158,                    22.158
BARRIO ABAJO,Neu,Regulado,1 OR,                    22.964,                    22.964,                    22.964,                    22.964,                    22.964,                    22.964
CENTRO LOGISTICO TOCANCIPA 31,Neu,Regulado,1 OR,                       1.365,                       1.365,                       1.365,                       1.365,                       1.365,                       1.365
GAITAN MEDIO MAYOREO,Neu,Regulado,1 OR,                       2.670,                       2.670,                       2.670,                       2.670,                       2.670,                       2.670
GAITAN SUPERMERCADO,Neu,Regulado,1 OR,                    12.309,                    12.309,                    12.309,                    12.309,                    12.309,                    12.309
IBAGUE LA 28,Neu,Regulado,1 OR,                    15.239,                    15.239,                    15.239,                    15.239,                    15.239,                    15.239
IBAGUE LA PICALEÑA MEDIO MAYOREO,Neu,Regulado,1 OR,                    20.063,                    20.063,                    20.063,                    20.063,                    20.063,                    20.063
MANIZALES,Neu,Regulado,1 OR,                       5.148,                       5.148,                       5.148,                       5.148,                       5.148,                       5.148
NEIVA CENTRO,Neu,Regulado,1 OR,                    13.384,                    13.384,                    13.384,                    13.384,                    13.384,                    13.384
NEIVA MEDIO MAYOREO,Neu,Regulado,1 OR,                    24.295,                    24.295,                    24.295,                    24.295,                    24.295,                    24.295
PITALITO MEDIO MAYOREO,Neu,Regulado,1 OR,                       2.300,                       2.300,                       2.300,                       2.300,                       2.300,                       2.300
SANTA MARTA MEDIO MAYOREO 1,Neu,Regulado,1 OR,                    26.674,                    26.674,                    26.674,                    26.674,                    26.674,                    26.674
SANTA MARTA RODADERO,Neu,Regulado,1 OR,                    25.459,                    25.459,                    25.459,                    25.459,                    25.459,                    25.459
SUBA,Neu,Regulado,1 OR,                    16.395,                    16.395,                    16.395,                    16.395,                    16.395,                    16.395
TUNJUELITO,Neu,Regulado,1 OR,                    12.650,                    12.650,                    12.650,                    12.650,                    12.650,                    12.650
VALLEDUPAR LA 44 MEDIO MAYOREO,Neu,Regulado,1 OR,                    20.238,                    20.238,                    20.238,                    20.238,                    20.238,                    20.238
VEINTE DE JULIO,Neu,Regulado,1 OR,                       6.047,                       6.047,                       6.047,                       6.047,                       6.047,                       6.047
VILLA ALSACIA,Neu,Regulado,1 OR,                    11.636,                    11.636,                    11.636,                    11.636,                    11.636,                    11.636
VILLA DEL PRADO,Neu,Regulado,1 OR,                       4.275,                       4.275,                       4.275,                       4.275,                       4.275,                       4.275
VILLA DEL PRADO,Neu,Regulado,1 OR,                       3.679,                       3.679,                       3.679,                       3.679,                       3.679,                       3.679
