Número de cuenta;Dirección de frontera;Ciudad;Sistema medida;Comercializador actual;Consumo mensual;Nivel de tensión;Propiedad de los activos; Costo equipos ; Total Renting ;Octubre;Noviembre;Diciembre;Enero;Febrero;Marzo;Abril 
12791442;CR 35 CL 10 B -66 (INTERIOR 1116);Medellín;Directa;EPM ANTIOQUIA;511.5;Nivel 1;OR; $755,045 ; $15,782 ;527;544;496;567;424;472;472
12791417;CR 35 CI 10 B -66 (INTERIOR 1016);Medellín;Directa;EPM ANTIOQUIA;504.5;Nivel 1;OR; $755,045 ; $15,782 ;471;488;545;615;521;457;457
12791424;CR 35 CI 10 B -66 (INTERIOR 1111);Medellín;Directa;EPM ANTIOQUIA;803.5;Nivel 1;OR; $755,045 ; $15,782 ;1,012;986;783;824;684;681;681
12791427;CR 35 CL 10 B -66 (INTERIOR 1115);Medellín;Directa;EPM ANTIOQUIA;389;Nivel 1;OR; $755,045 ; $15,782 ;513;433;350;392;386;361;361
12791433;CR 35 CI 10 B -38 (INTERIOR 215);Medellín;Semidirecta;EPM ANTIOQUIA;1740;Nivel 1;OR; $1,591,254 ; $33,260 ;1,710;1,740;1,770;1,770;1,740;1,710;1,710
12791453;CR 35 CL 10 B -66 (INTERIOR 513);Medellín;Directa;EPM ANTIOQUIA;1573.5;Nivel 1;OR; $755,045 ; $15,782 ;1,275;1,661;1,539;1,437;1,857;1,608;1,608
12791411;CR 35 CL 10 B -66 (INTERIOR 311);Medellín;Directa;EPM ANTIOQUIA;314.5;Nivel 1;OR; $755,045 ; $15,782 ;378;298;377;331;298;234;234
12791459;CR 35 CI 10 B -66 (INTERIOR 1011);Medellín;Directa;EPM ANTIOQUIA;577;Nivel 1;OR; $755,045 ; $15,782 ;606;671;572;582;506;467;467
12791431;CR 35 CL 10 B -66 (INTERIOR 512);Medellín;Directa;EPM ANTIOQUIA;399;Nivel 1;OR; $755,045 ; $15,782 ;422;445;306;380;337;418;418
12791429;CR 35 CI 10 B -66 (INTERIOR 611);Medellín;Directa;EPM ANTIOQUIA;367;Nivel 1;OR; $755,045 ; $15,782 ;510;512;358;376;316;327;327
12791448;CR 35 CI 10 B -66 (INTERIOR 1216);Medellín;Directa;EPM ANTIOQUIA;340;Nivel 1;OR; $755,045 ; $15,782 ;328;342;388;338;411;321;321
12791463;CR 35 CI 10 B -66 (INTERIOR 412);Medellín;Directa;EPM ANTIOQUIA;368.5;Nivel 1;OR; $755,045 ; $15,782 ;332;326;331;532;405;462;462
12791422;CR 35 CI 10 B -66 (INTERIOR 1516);Medellín;Semidirecta;EPM ANTIOQUIA;2895;Nivel 1;OR; $1,591,254 ; $33,260 ;2,880;2,910;2,970;3,210;2,460;2,580;2,580
12791443;CR 35 CL 10 B -66 (INTERIOR 616);Medellín;Directa;EPM ANTIOQUIA;490.5;Nivel 1;OR; $755,045 ; $15,782 ;492;490;426;441;491;495;495
12791464;CR 35 CL 10 B -66 (INTERIOR 1316);Medellín;Directa;EPM ANTIOQUIA;1446.5;Nivel 1;OR; $755,045 ; $15,782 ;1,670;1,450;1,382;1,439;1,443;1,645;1,645
12791438;CR 35 CI 10 B -66 (INTERIOR 712);Medellín;Directa;EPM ANTIOQUIA;1852;Nivel 1;OR; $755,045 ; $15,782 ;950;1,330;2,001;2,046;1,793;1,911;1,911
12791413;CR 35 CL 10 B -66 (INTERIOR 1416);Medellín;Directa;EPM ANTIOQUIA;516.5;Nivel 1;OR; $755,045 ; $15,782 ;520;513;566;430;416;529;529
12791467;CR 35 CL 10 B -66 (INTERIOR 716);Medellín;Directa;EPM ANTIOQUIA;420;Nivel 1;OR; $755,045 ; $15,782 ;411;436;387;388;484;429;429
12791446;CR 35 CI 10 B -66 (INTERIOR 414);Medellín;Directa;EPM ANTIOQUIA;1178.5;Nivel 1;OR; $755,045 ; $15,782 ;917;592;1,023;1,357;1,334;1,677;1,677
12791441;CR 35 CI 10 B -66 (INTERIOR 515);Medellín;Directa;EPM ANTIOQUIA;238;Nivel 1;OR; $755,045 ; $15,782 ;257;256;227;228;136;248;248
12791457;CR 35 CL 10 B -66 (INTERIOR 411);Medellín;Directa;EPM ANTIOQUIA;312.5;Nivel 1;OR; $755,045 ; $15,782 ;309;534;293;319;316;272;272
12791436;CR 35 CL 10 B -66 (INTERIOR 615);Medellín;Directa;EPM ANTIOQUIA;803;Nivel 1;OR; $755,045 ; $15,782 ;895;685;613;852;754;857;857
12791465;CR 35 CL 10 B -66 (INTERIOR 1415);Medellín;Directa;EPM ANTIOQUIA;2053;Nivel 1;OR; $755,045 ; $15,782 ;2,102;1,995;1,959;2,154;2,048;2,058;2,058
12791460;CR 35 CL 10 B -66 (INTERIOR 612);Medellín;Directa;EPM ANTIOQUIA;738;Nivel 1;OR; $755,045 ; $15,782 ;598;704;772;827;648;1,164;1,164
12791456;CR 35 CL 10 B -66 (INTERIOR 1311);Medellín;Directa;EPM ANTIOQUIA;885;Nivel 1;OR; $755,045 ; $15,782 ;889;1,197;881;736;1,099;738;738
12949933;CR 35 CI 10 B -66 (SC COMUN);Medellín;Semidirecta;EPM ANTIOQUIA;13600;Nivel 1;OR; $1,591,254 ; $33,260 ;13,760;14,400;13,440;13,280;13,120;14,240;14,240
12791461;CR 35 CI 10 B -66 (INTERIOR 1015);Medellín;Directa;EPM ANTIOQUIA;421;Nivel 1;OR; $755,045 ; $15,782 ;376;468;409;444;379;433;433
