Mes,Nivel de tension ,Afinia Tarifa ,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"783,05","730,06"
"diciembre 1, 2025",1 Usuario,"765,82","732,86"
"enero 1, 2026",1 Usuario,"764,58","714,4"
"febrero 1, 2026",1 Usuario,"804,67","694,44"
"marzo 1, 2026",1 Usuario,"863,16","661,05"
"abril 1, 2026",1 Usuario,"843,75","624,86"
,,,
,,,
Mes,Nivel de tension ,Afinia Tarifa ,Bia Tarifa
"noviembre 1, 2025",1 OR ,"818,09","765,1"
"diciembre 1, 2025",1 OR ,"800,25","767,29"
"enero 1, 2026",1 OR ,"798,81","748,62"
"febrero 1, 2026",1 OR ,"838,91","728,66"
"marzo 1, 2026",1 OR ,"897,49","695,37"
"abril 1, 2026",1 OR ,"875,56","654,75"
