Mes,Nivel de tension ,Cens Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"759,04","762,98"
"diciembre 1, 2025",1 Usuario,"769,16","774,75"
"enero 1, 2026",1 Usuario,"787,19","763,45"
"febrero 1, 2026",1 Usuario,"748,47","737,19"
"marzo 1, 2026",1 Usuario,"806,49","695,29"
"abril 1, 2026",1 Usuario,"812,6","740,07"
,,,
,,,
Mes,Nivel de tension ,Cens Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"814,18","818,12"
"diciembre 1, 2025",1 OR ,"823,37","828,95"
"enero 1, 2026",1 OR ,"840,96","817,22"
"febrero 1, 2026",1 OR ,"802,41","790,97"
"marzo 1, 2026",1 OR ,"860,75","749,55"
"abril 1, 2026",1 OR ,"864,68","792,15"
