Mes,Nivel de tension ,Chec Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"778,25","731,26"
"diciembre 1, 2025",1 Usuario,"787,16","742,6"
"enero 1, 2026",1 Usuario,"792,2","733,82"
"febrero 1, 2026",1 Usuario,"756,38","708,32"
"marzo 1, 2026",1 Usuario,"787,87","668,22"
"abril 1, 2026",1 Usuario,"808,2","713,8"
,,,
,,,
Mes,Nivel de tension ,Chec Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"854,46","807,48"
"diciembre 1, 2025",1 OR ,"862,34","817,77"
"enero 1, 2026",1 OR ,"866,91","808,53"
"febrero 1, 2026",1 OR ,"831,68","783,63"
"marzo 1, 2026",1 OR ,"863,47","743,82"
"abril 1, 2026",1 OR ,"882,8","788,4"
