Mes,Nivel de tension ,Electrohuila Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"968,05","761,08"
"diciembre 1, 2025",1 Usuario,"933,65","758,33"
"enero 1, 2026",1 Usuario,"938,09","748,65"
"febrero 1, 2026",1 Usuario,"930,6","731,8"
"marzo 1, 2026",1 Usuario,"936,75","699,98"
"abril 1, 2026",1 Usuario,"962,04","720,43"
,,,
,,,
Mes,Nivel de tension ,Electrohuila Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"1.015,04","808,07"
"diciembre 1, 2025",1 OR ,"980,14","804,83"
"enero 1, 2026",1 OR ,"984,25","794,81"
"febrero 1, 2026",1 OR ,"981,7","777,95"
"marzo 1, 2026",1 OR ,"987,71","750,94"
"abril 1, 2026",1 OR ,"1.012,62","771,84"
