Mes,Nivel de tension ,Enel Tarifas ,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"747,31","760,61"
"diciembre 1, 2025",1 Usuario,"733,05","758,11"
"enero 1, 2026",1 Usuario,"688,54","745,36"
"febrero 1, 2026",1 Usuario,"784,92","725,08"
"marzo 1, 2026",1 Usuario,"775,15","697,37"
"abril 1, 2026",1 Usuario,"769,93","718,06"
,,,
,,,
Mes,Nivel de tension ,Enel Tarifas ,Bia Tarifa
"noviembre 1, 2025",1 OR ,"800,09","813,39"
"diciembre 1, 2025",1 OR ,"785,09","810,15"
"enero 1, 2026",1 OR ,"740,25","797,06"
"febrero 1, 2026",1 OR ,"834,12","774,27"
"marzo 1, 2026",1 OR ,"824,59","746,81"
"abril 1, 2026",1 OR ,"819,66","767,78"
