Mes;Región ;Nivel de tensión ;Tarifa EPM;Tarifa BIA 
enero 1, 2025;ANTIOQUIA;nivel_1_operador ;868.01;822.51
febrero 1, 2025;ANTIOQUIA;nivel_1_operador ;874.18;822.15
marzo 1, 2025;ANTIOQUIA;nivel_1_operador ;877.54;849.52
abril 1, 2025;ANTIOQUIA;nivel_1_operador ;844.59;866.38
mayo 1, 2025;ANTIOQUIA;nivel_1_operador ;791.29;866.25
junio 1, 2025;ANTIOQUIA;nivel_1_operador ;800.27;863.02
julio 1, 2025;ANTIOQUIA;nivel_1_operador ;843.47;808.54
agosto 1, 2025;ANTIOQUIA;nivel_1_operador ;857.42;815.89
septiembre 1, 2025;ANTIOQUIA;nivel_1_operador ;846.69;826.77
octubre 1, 2025;ANTIOQUIA;nivel_1_operador ;842.64;825.12
noviembre 1, 2025;ANTIOQUIA;nivel_1_operador ;819.61;823.87
diciembre 1, 2025;ANTIOQUIA;nivel_1_operador ;816.71;833.82
enero 1, 2026;ANTIOQUIA;nivel_1_operador ;816.36;820.3
febrero 1, 2026;ANTIOQUIA;nivel_1_operador ;757.77;790.58
marzo 1, 2026;ANTIOQUIA;nivel_1_operador ;821.63;749.13
abril 1, 2026;ANTIOQUIA;nivel_1_operador ;800.41;795.4
