Mes;Región ;Nivel de tensión ;Tarifa EPM;Tarifa BIA 
enero 1, 2025;ANTIOQUIA;nivel_1_user;808.77;763.26
febrero 1, 2025;ANTIOQUIA;nivel_1_user;814.67;762.65
marzo 1, 2025;ANTIOQUIA;nivel_1_user;818.06;790.04
abril 1, 2025;ANTIOQUIA;nivel_1_user;773.76;784.72
mayo 1, 2025;ANTIOQUIA;nivel_1_user;720.22;795.18
junio 1, 2025;ANTIOQUIA;nivel_1_user;730.06;792.81
julio 1, 2025;ANTIOQUIA;nivel_1_user;773.7;738.77
agosto 1, 2025;ANTIOQUIA;nivel_1_user;787.42;745.88
septiembre 1, 2025;ANTIOQUIA;nivel_1_user;776.5;756.58
octubre 1, 2025;ANTIOQUIA;nivel_1_user;772.45;754.59
noviembre 1, 2025;ANTIOQUIA;nivel_1_user;749.87;754.13
diciembre 1, 2025;ANTIOQUIA;nivel_1_user;748.01;765.13
enero 1, 2026;ANTIOQUIA;nivel_1_user;747.66;752.06
febrero 1, 2026;ANTIOQUIA;nivel_1_user;689.03;721.84
marzo 1, 2026;ANTIOQUIA;nivel_1_user;759.03;686.52
abril 1, 2026;ANTIOQUIA;nivel_1_user;864.06;731.75
